"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 18 07:12:38 GMT 2022","Sun Dec 18 07:12:48 GMT 2022","9958","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"unknown","Sun Dec 18 07:11:59 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1671347519063","","Test case for e2e flow","","Test case for e2e flow","","",""
"passed","Sun Dec 18 07:12:35 GMT 2022","Sun Dec 18 07:12:38 GMT 2022","3567","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
"passed","Sun Dec 18 07:13:17 GMT 2022","Sun Dec 18 07:13:39 GMT 2022","21296","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
"passed","Sun Dec 18 07:12:48 GMT 2022","Sun Dec 18 07:13:03 GMT 2022","14496","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"passed","Sun Dec 18 07:11:54 GMT 2022","Sun Dec 18 07:11:59 GMT 2022","4233","","Test case for e2e flow","","Test case for e2e flow","To change the theme of the app","To change the theme of the app",""
"passed","Sun Dec 18 07:11:44 GMT 2022","Sun Dec 18 07:11:54 GMT 2022","9838","","Test case for e2e flow","","Test case for e2e flow","To change the background color of note","To change the background color of note",""
"passed","Sun Dec 18 07:13:03 GMT 2022","Sun Dec 18 07:13:17 GMT 2022","14544","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Sun Dec 18 07:11:59 GMT 2022","Sun Dec 18 07:12:10 GMT 2022","11035","","Test case for e2e flow","","Test case for e2e flow","""before each"" hook for Test case for e2e flow","""before each"" hook for Test case for e2e flow",""
"skipped","Sun Dec 18 07:12:10 GMT 2022","Sun Dec 18 07:12:10 GMT 2022","0","","Test case for e2e flow","","Test case for e2e flow","To open the calender using scroll down action","To open the calender using scroll down action",""
